year,month,language_name,commit_count,quarter,year_rank,quarter_rank
2011,4,Scala,3888840,2,22,29
2011,5,HTML,4128127,2,24,12
2011,9,JavaScript,7122192,3,18,12
2011,12,CSS,4785566,4,23,14
2011,11,CoffeeScript,782218,4,46,39
2011,9,Emacs Lisp,581782,3,43,43
2011,5,NSIS,756531,2,42,48
2011,5,PowerShell,402024,2,51,35
2011,2,Jolie,285,1,324,367
2011,11,Objective-C++,3000419,4,29,35
2011,2,AngelScript,7555,1,213,197
2011,1,Dockerfile,113294,1,84,37
2011,3,Thrift,90920,1,99,87
2011,2,TypeScript,347652,1,58,47
2011,7,Vim Snippet,1902,3,274,153
2011,12,Matlab,323785,4,66,73
2011,5,Io,65493,2,127,174
2011,1,Swift,37620,1,143,66
2011,11,Module Management System,80702,4,96,110
2011,3,OpenEdge ABL,55316,1,106,108
2011,11,LLVM,83020,4,110,74
2011,3,FreeMarker,53324,1,123,103
2011,6,Euphoria,215,2,345,346
2011,3,Jasmin,3625,1,250,257
2011,12,eC,6156,4,209,197
2011,3,nesC,95402,1,100,127
2011,6,Gettext Catalog,13077,2,191,250
2011,6,Redcode,10259,2,201,229
2011,4,VBA,3145,2,246,247
2011,11,RAML,5023,4,236,244
2011,9,ooc,1640,3,307,319
2011,9,EJS,1567,3,282,182
2011,4,Click,4613,2,235,309
2011,3,RUNOFF,147,1,360,436
2011,1,VCL,2370,1,254,198
2011,1,Click,1846,1,235,313
2011,11,F*,20,4,382,340
2011,2,Jsonnet,1800,1,263,216
2011,8,Csound Document,416,3,285,288
2011,10,Csound,1990,4,255,301
2011,10,Earthly,6,4,386,357
2011,12,Monkey,89,4,333,396
2011,2,mIRC Script,1431,1,260,263
2011,4,Moocode,264,2,352,409
2011,2,Bluespec,90,1,373,357
2011,9,Wollok,99,3,400,448
2011,8,MQL5,46,3,383,429
2011,1,Curry,2,1,413,462
2011,3,Ox,5,1,404,450
2011,4,UnrealScript,15351389,2,9,10
2011,2,DOT,2442523,1,31,42
2011,9,Scala,3718988,3,22,30
2011,3,Cucumber,218652,1,70,63
2011,10,Vim script,176410,4,75,59
2011,3,QML,72967,1,122,97
2011,5,TSQL,47034,2,128,88
2011,7,XQuery,62394,3,116,139
2011,11,Scheme,220021,4,69,75
2011,2,MATLAB,38234,1,136,107
2011,11,M,78374,4,108,136
2011,3,FORTRAN,198485,1,79,110
2011,4,Cirru,7999,2,195,261
2011,1,Io,69322,1,127,164
2011,11,BitBake,11836,4,198,208
2011,12,DIGITAL Command Language,155448,4,81,64
2011,4,Logos,333186,2,57,84
2011,6,Nu,52931,2,114,215
2011,7,eC,9265,3,209,207
2011,3,Game Maker Language,14311,1,177,209
2011,5,Graphviz (DOT),109807,2,105,170
2011,11,Sass,2671,4,268,211
2011,1,Augeas,14007,1,166,205
2011,12,WebAssembly,973,4,277,272
2011,4,Starlark,3931,2,229,123
2011,2,VBA,3591,1,246,247
2011,12,Opa,1090,4,284,353
2011,10,PAWN,40488,4,134,160
2011,3,AIDL,277,1,292,272
2011,5,Twig,25721,2,168,177
2011,11,Nimrod,2587,4,272,260
2011,1,GCC Machine Description,8064,1,196,187
2011,5,Click,9989,2,235,309
2011,10,VCL,2031,4,254,202
2011,8,VCL,2577,3,254,198
2011,6,API Blueprint,652,2,287,267
2011,1,IGOR Pro,750,1,297,373
2011,11,HyPhy,715,4,330,303
2011,8,FreeBasic,161,3,329,376
2011,3,Jsonnet,1368,1,263,216
2011,6,1C Enterprise,251,2,331,139
2011,7,ReScript,2462,3,249,249
2011,7,Dhall,66,3,369,357
2011,2,Qt Script,88,1,351,340
2011,1,Csound,2057,1,255,301
2011,1,Scaml,48,1,378,410
2011,3,PEG.js,59,1,375,318
2011,2,Kaitai Struct,168,1,376,387
2011,2,KiCad Layout,96,1,354,356
2011,12,Solidity,6,4,396,271
2011,6,Boogie,66,2,396,430
2011,6,MQL5,117,2,383,423
2011,11,Kaitai Struct,2,4,376,393
2011,7,PureScript,416,3,316,264
2011,4,Awk,16968326,2,8,9
2011,3,Objective-C,35187065,1,6,7
2011,5,CSS,4276430,2,23,16
2011,5,Groovy,424408,2,47,43
2011,8,GAP,300374,3,63,78
2011,9,GAP,307176,3,63,78
2011,5,Racket,150646,2,97,135
2011,9,Thrift,98784,3,99,86
2011,12,Forth,99184,4,88,123
2011,4,Dockerfile,121158,2,84,36
2011,7,Jolie,466,3,324,367
2011,11,XQuery,60057,4,116,144
2011,5,R,1175883,2,40,53
2011,2,Puppet,53752,1,102,94
2011,5,Scheme,257390,2,69,75
2011,8,Prolog,1807170,3,34,47
2011,4,Gnuplot,90747,2,104,128
2011,10,M4,3351882,4,28,31
2011,11,M4,3345383,4,28,31
2011,2,LLVM,49637,1,110,75
2011,2,Elixir,79803,1,121,130
2011,1,Verilog,60102,1,139,150
2011,9,Rebol,57115,3,118,144
2011,3,Haxe,72403,1,94,131
2011,10,Pascal,458363,4,44,58
2011,6,EmberScript,23694,2,129,137
2011,7,BlitzBasic,5503,3,215,244
2011,3,BlitzBasic,8109,1,215,250
2011,9,eC,7313,3,209,207
2011,6,DM,43184,2,119,98
2011,12,Game Maker Language,12970,4,177,199
2011,5,Visual Basic .NET,1740,2,270,175
2011,2,Brainfuck,418483,1,45,91
2011,5,SQL,8417,2,207,271
2011,4,Jasmin,3253,2,250,268
2011,11,Bro,369,4,310,349
2011,6,LilyPond,9520,2,206,227
2011,8,Xtend,9146,3,217,211
2011,4,RAML,4229,2,236,246
2011,11,CWeb,1788,4,271,308
2011,6,PureBasic,891,2,267,143
2011,5,SMT,521,2,313,293
2011,6,Faust,631,2,294,278
2011,8,Slim,602,3,299,298
2011,11,YASnippet,475,4,319,255
2011,1,Chapel,4033,1,234,296
2011,10,mIRC Script,1941,4,260,263
2011,12,mIRC Script,2208,4,260,263
2011,11,Closure Templates,109,4,367,334
2011,9,NetLogo,60,3,361,372
2011,7,Common Workflow Language,160,3,364,321
2011,12,Stan,261,4,368,341
2011,7,PowerBuilder,21,3,415,434
2011,11,MQL5,31,4,383,425
2011,8,SourcePawn,11262881,3,15,17
2011,6,Shell,24142517,2,1,1
2011,5,Batchfile,2341628,2,33,22
2011,10,Lua,445741,4,52,40
2011,1,Vim script,163988,1,75,60
2011,7,Tcl,366295,3,48,51
2011,5,PigLatin,9737,2,205,212
2011,2,OCaml,131918,1,83,106
2011,5,SQLPL,199061,2,73,69
2011,3,q,5972,1,232,177
2011,1,SuperCollider,2491501,1,36,51
2011,7,Perl6,379477,3,53,62
2011,7,Fortran,91413,3,103,100
2011,4,DIGITAL Command Language,148284,2,81,71
2011,12,CLIPS,100751,4,86,124
2011,4,BitBake,7832,2,198,222
2011,12,xBase,3684,4,237,270
2011,7,Jupyter Notebook,41946,3,126,80
2011,3,Coq,5303,1,226,223
