quarter_rank,language_name,year,quarter,pr_count,year_rank
1,Ruby,2011,3,632,1
2,PHP,2011,3,484,2
3,Python,2011,3,423,3
4,JavaScript,2011,3,367,4
5,Java,2011,3,216,5
6,C++,2011,3,181,6
1,Ruby,2011,4,3047,1
2,PHP,2011,4,2261,2
3,Python,2011,4,2120,3
4,JavaScript,2011,4,1817,4
5,Java,2011,4,984,5
6,C++,2011,4,831,6
7,C,2011,4,623,7
8,Shell,2011,4,406,8
9,C#,2011,4,291,9
10,Objective-C,2011,4,236,10
11,Scala,2011,4,200,11
13,Erlang,2011,4,149,13
13,HTML,2011,4,149,13
14,Haskell,2011,4,111,14
1,Ruby,2012,1,37951,1
2,PHP,2012,1,17274,4
3,Python,2012,1,15692,3
4,JavaScript,2012,1,13388,2
5,Java,2012,1,7817,5
6,C++,2012,1,4942,6
7,C,2012,1,2617,7
8,Groovy,2012,1,1748,14
9,Shell,2012,1,1685,10
10,C#,2012,1,1551,9
11,Scala,2012,1,1243,8
12,Objective-C,2012,1,955,11
13,TypeScript,2012,1,653,23
14,Erlang,2012,1,429,16
15,Haskell,2012,1,379,18
16,CoffeeScript,2012,1,368,13
17,HTML,2012,1,343,12
18,Go,2012,1,298,19
19,Lua,2012,1,294,22
20,Perl,2012,1,271,15
21,ColdFusion,2012,1,211,25
22,Emacs Lisp,2012,1,207,20
23,CSS,2012,1,197,17
24,Clojure,2012,1,188,21
25,Objective-J,2012,1,184,28
26,Elixir,2012,1,113,26
27,Web Ontology Language,2012,1,103,38
1,Ruby,2012,2,16616,1
2,JavaScript,2012,2,15668,2
3,Python,2012,2,14656,3
4,PHP,2012,2,14324,4
5,Java,2012,2,7183,5
6,C++,2012,2,4423,6
7,C,2012,2,2977,7
8,Scala,2012,2,1896,8
9,C#,2012,2,1833,9
10,Objective-C,2012,2,1529,11
11,Shell,2012,2,1327,10
12,HTML,2012,2,1097,12
13,Erlang,2012,2,656,16
14,CoffeeScript,2012,2,638,13
15,Perl,2012,2,631,15
16,Haskell,2012,2,555,18
17,CSS,2012,2,531,17
18,Emacs Lisp,2012,2,526,20
19,Clojure,2012,2,361,21
20,Lua,2012,2,339,22
21,Go,2012,2,313,19
22,Groovy,2012,2,230,14
23,TypeScript,2012,2,191,23
24,Puppet,2012,2,180,27
25,XSLT,2012,2,173,31
26,Objective-J,2012,2,128,28
28,Elixir,2012,2,125,26
28,ColdFusion,2012,2,125,25
29,Vim script,2012,2,112,29
30,nesC,2012,2,109,24
1,JavaScript,2012,3,19104,2
2,Ruby,2012,3,17444,1
3,Python,2012,3,17288,3
4,PHP,2012,3,17240,4
5,Java,2012,3,8285,5
6,C++,2012,3,4894,6
7,C,2012,3,4133,7
8,Scala,2012,3,2505,8
9,Shell,2012,3,2062,10
10,C#,2012,3,1887,9
11,Objective-C,2012,3,1835,11
12,HTML,2012,3,1402,12
13,CoffeeScript,2012,3,945,13
14,Perl,2012,3,740,15
15,CSS,2012,3,698,17
16,Erlang,2012,3,644,16
17,Haskell,2012,3,583,18
18,Emacs Lisp,2012,3,556,20
19,Go,2012,3,543,19
20,Clojure,2012,3,523,21
21,Lua,2012,3,436,22
22,Groovy,2012,3,388,14
23,nesC,2012,3,236,24
24,TypeScript,2012,3,209,23
25,Nix,2012,3,171,30
26,Objective-J,2012,3,143,28
27,Vim script,2012,3,134,29
28,Puppet,2012,3,121,27
29,XSLT,2012,3,120,31
30,VimL,2012,3,118,32
31,Elixir,2012,3,109,26
32,ColdFusion,2012,3,106,25
1,Ruby,2012,4,22135,1
2,Python,2012,4,21675,3
3,JavaScript,2012,4,21190,2
4,PHP,2012,4,17308,4
5,Java,2012,4,10964,5
6,C++,2012,4,5861,6
7,C,2012,4,4833,7
8,C#,2012,4,2379,9
9,Objective-C,2012,4,2163,11
10,Scala,2012,4,2072,8
11,Shell,2012,4,1922,10
12,HTML,2012,4,1790,12
13,Perl,2012,4,1072,15
14,CoffeeScript,2012,4,993,13
15,CSS,2012,4,904,17
16,Go,2012,4,858,19
17,Erlang,2012,4,799,16
18,Haskell,2012,4,704,18
19,Clojure,2012,4,602,21
20,Lua,2012,4,574,22
21,Emacs Lisp,2012,4,542,20
22,TypeScript,2012,4,490,23
23,Groovy,2012,4,394,14
24,nesC,2012,4,314,24
25,Puppet,2012,4,222,27
26,Elixir,2012,4,215,26
27,Nix,2012,4,176,30
28,Vim script,2012,4,169,29
29,VimL,2012,4,148,32
30,ColdFusion,2012,4,138,25
31,Delphi,2012,4,127,33
32,Scheme,2012,4,121,34
34,Jupyter Notebook,2012,4,119,36
34,TSQL,2012,4,119,36
35,Common Lisp,2012,4,103,38
1,JavaScript,2013,1,32666,1
2,Ruby,2013,1,30052,3
3,Python,2013,1,29487,2
4,PHP,2013,1,23628,4
5,Java,2013,1,16919,5
6,C++,2013,1,7240,6
7,C,2013,1,6405,7
8,C#,2013,1,3665,8
9,Objective-C,2013,1,3572,9
10,Shell,2013,1,2833,11
11,HTML,2013,1,2819,10
12,Scala,2013,1,2804,13
13,CSS,2013,1,1865,12
14,CoffeeScript,2013,1,1582,15
15,Go,2013,1,1341,14
16,Perl,2013,1,1252,17
17,Erlang,2013,1,961,18
18,Emacs Lisp,2013,1,950,19
19,TypeScript,2013,1,949,16
20,nesC,2013,1,828,26
21,Haskell,2013,1,811,20
22,Clojure,2013,1,643,25
23,Groovy,2013,1,503,24
24,Lua,2013,1,408,21
25,Nix,2013,1,292,27
26,Puppet,2013,1,288,22
27,Objective-J,2013,1,251,48
28,Vim script,2013,1,222,31
29,Pascal,2013,1,177,50
30,SQF,2013,1,172,55
31,DM,2013,1,168,23
32,Kotlin,2013,1,156,30
33,OCaml,2013,1,139,28
34,VimL,2013,1,138,33
35,Julia,2013,1,136,34
36,XSLT,2013,1,129,37
37,Jupyter Notebook,2013,1,125,32
38,TSQL,2013,1,121,45
39,Smalltalk,2013,1,110,44
40,PowerShell,2013,1,107,40
41,ColdFusion,2013,1,105,41
42,ActionScript,2013,1,103,54
1,Python,2013,2,38044,2
2,JavaScript,2013,2,37471,1
3,Ruby,2013,2,33502,3
4,PHP,2013,2,25522,4
5,Java,2013,2,17650,5
6,C++,2013,2,9943,6
7,C,2013,2,6657,7
8,C#,2013,2,4497,8
9,Objective-C,2013,2,4175,9
10,HTML,2013,2,3897,10
11,Shell,2013,2,2776,11
12,Scala,2013,2,2757,13
13,Perl,2013,2,2434,17
14,Go,2013,2,2318,14
15,CSS,2013,2,2289,12
16,TypeScript,2013,2,1752,16
17,CoffeeScript,2013,2,1635,15
18,Erlang,2013,2,1090,18
19,Emacs Lisp,2013,2,995,19
20,nesC,2013,2,863,26
21,DM,2013,2,844,23
22,Lua,2013,2,800,21
23,Haskell,2013,2,765,20
24,Clojure,2013,2,640,25
25,Groovy,2013,2,538,24
26,Nix,2013,2,497,27
27,Elixir,2013,2,467,29
28,Puppet,2013,2,433,22
29,OCaml,2013,2,340,28
30,Common Lisp,2013,2,332,47
31,Vim script,2013,2,300,31
32,Kotlin,2013,2,202,30
