language_name,year,quarter,count,lag_count,qoq_change
1C Enterprise,2011,2,978,664.0,0.47289156626506035
1C Enterprise,2011,3,807,978.0,-0.17484662576687116
1C Enterprise,2011,4,515,807.0,-0.3618339529120198
1C Enterprise,2012,1,843,515.0,0.6368932038834951
1C Enterprise,2012,2,1397,843.0,0.6571767497034402
1C Enterprise,2012,3,1874,1397.0,0.341445955619184
1C Enterprise,2012,4,1653,1874.0,-0.11792956243329777
1C Enterprise,2013,1,1697,1653.0,0.02661826981246218
1C Enterprise,2013,2,3518,1697.0,1.0730701237477902
1C Enterprise,2013,3,1623,3518.0,-0.5386583285957931
1C Enterprise,2013,4,2312,1623.0,0.42452248921749836
1C Enterprise,2014,1,15681,2312.0,5.782439446366782
1C Enterprise,2014,2,38442,15681.0,1.4515018174861298
1C Enterprise,2014,3,44572,38442.0,0.159461006191145
1C Enterprise,2014,4,66824,44572.0,0.4992371892668044
1C Enterprise,2015,1,226342,66824.0,2.3871363581946605
1C Enterprise,2015,2,224537,226342.0,-0.007974657818699105
1C Enterprise,2015,3,259605,224537.0,0.15617915978212937
1C Enterprise,2015,4,311565,259605.0,0.20015022823135142
1C Enterprise,2016,1,322460,311565.0,0.03496862612937912
1C Enterprise,2016,2,296940,322460.0,-0.07914159895801032
1C Enterprise,2016,3,285845,296940.0,-0.03736445073078731
1C Enterprise,2016,4,330929,285845.0,0.15772184225716734
1C Enterprise,2017,1,290866,330929.0,-0.12106222180588588
1C Enterprise,2017,2,296450,290866.0,0.019197843680595295
1C Enterprise,2017,3,177068,296450.0,-0.4027053466014505
1C Enterprise,2017,4,83271,177068.0,-0.5297230442541848
1C Enterprise,2018,1,129766,83271.0,0.5583576515233395
1C Enterprise,2018,2,122620,129766.0,-0.05506835380608177
1C Enterprise,2018,3,76915,122620.0,-0.37273691078127547
1C Enterprise,2018,4,87745,76915.0,0.14080478450237277
1C Enterprise,2019,1,100781,87745.0,0.1485668699071172
1C Enterprise,2019,2,77874,100781.0,-0.22729482739802143
1C Enterprise,2019,3,77319,77874.0,-0.007126897295631429
1C Enterprise,2019,4,58600,77319.0,-0.2421009066335571
1C Enterprise,2020,1,112428,58600.0,0.9185665529010238
1C Enterprise,2020,2,97976,112428.0,-0.12854449069626783
