language_name,year,quarter,count,lag_count,qoq_change
1C Enterprise,2011,2,13,15.0,-0.1333333333333333
1C Enterprise,2011,3,19,13.0,0.46153846153846145
1C Enterprise,2011,4,18,19.0,-0.052631578947368474
1C Enterprise,2012,1,21,18.0,0.16666666666666674
1C Enterprise,2012,2,25,21.0,0.19047619047619047
1C Enterprise,2012,3,34,25.0,0.3600000000000001
1C Enterprise,2012,4,47,34.0,0.38235294117647056
1C Enterprise,2013,1,37,47.0,-0.21276595744680848
1C Enterprise,2013,2,55,37.0,0.4864864864864864
1C Enterprise,2013,3,57,55.0,0.036363636363636376
1C Enterprise,2013,4,74,57.0,0.29824561403508776
1C Enterprise,2014,1,133,74.0,0.7972972972972974
1C Enterprise,2014,2,312,133.0,1.3458646616541352
1C Enterprise,2014,3,324,312.0,0.03846153846153855
1C Enterprise,2014,4,408,324.0,0.2592592592592593
1C Enterprise,2015,1,448,408.0,0.0980392156862746
1C Enterprise,2015,2,456,448.0,0.017857142857142794
1C Enterprise,2015,3,470,456.0,0.030701754385964897
1C Enterprise,2015,4,481,470.0,0.023404255319148914
1C Enterprise,2016,1,486,481.0,0.01039501039501034
1C Enterprise,2016,2,503,486.0,0.034979423868312765
1C Enterprise,2016,3,542,503.0,0.07753479125248508
1C Enterprise,2016,4,510,542.0,-0.059040590405904037
1C Enterprise,2017,1,480,510.0,-0.05882352941176472
1C Enterprise,2017,2,439,480.0,-0.0854166666666667
1C Enterprise,2017,3,382,439.0,-0.1298405466970387
1C Enterprise,2017,4,319,382.0,-0.16492146596858637
1C Enterprise,2018,1,273,319.0,-0.14420062695924762
1C Enterprise,2018,2,240,273.0,-0.1208791208791209
1C Enterprise,2018,3,223,240.0,-0.0708333333333333
1C Enterprise,2018,4,203,223.0,-0.08968609865470856
1C Enterprise,2019,1,191,203.0,-0.059113300492610876
1C Enterprise,2019,2,170,191.0,-0.10994764397905754
1C Enterprise,2019,3,163,170.0,-0.04117647058823526
1C Enterprise,2019,4,151,163.0,-0.07361963190184051
1C Enterprise,2020,1,138,151.0,-0.08609271523178808
1C Enterprise,2020,2,126,138.0,-0.08695652173913049
1C Enterprise,2020,3,113,126.0,-0.10317460317460314
1C Enterprise,2020,4,97,113.0,-0.1415929203539823
1C Enterprise,2021,1,78,97.0,-0.19587628865979378
1C Enterprise,2021,2,72,78.0,-0.07692307692307687
1C Enterprise,2021,3,67,72.0,-0.06944444444444442
1C Enterprise,2021,4,52,67.0,-0.22388059701492535
ABAP,2011,2,310,309.0,0.003236245954692629
ABAP,2011,3,318,310.0,0.02580645161290329
ABAP,2011,4,313,318.0,-0.01572327044025157
ABAP,2012,1,326,313.0,0.04153354632587858
ABAP,2012,2,419,326.0,0.2852760736196318
ABAP,2012,3,403,419.0,-0.03818615751789978
ABAP,2012,4,387,403.0,-0.03970223325062039
ABAP,2013,1,414,387.0,0.06976744186046502
ABAP,2013,2,413,414.0,-0.0024154589371980784
ABAP,2013,3,375,413.0,-0.09200968523002417
ABAP,2013,4,381,375.0,0.016000000000000014
ABAP,2014,1,439,381.0,0.15223097112860895
ABAP,2014,2,398,439.0,-0.09339407744874717
ABAP,2014,3,454,398.0,0.14070351758793964
ABAP,2014,4,450,454.0,-0.008810572687224627
ABAP,2015,1,433,450.0,-0.0377777777777778
ABAP,2015,2,401,433.0,-0.07390300230946878
ABAP,2015,3,363,401.0,-0.09476309226932667
ABAP,2015,4,219,363.0,-0.39669421487603307
ABAP,2016,1,205,219.0,-0.0639269406392694
ABAP,2016,2,183,205.0,-0.10731707317073169
ABAP,2016,3,163,183.0,-0.10928961748633881
ABAP,2016,4,146,163.0,-0.10429447852760731
ABAP,2017,1,161,146.0,0.10273972602739723
ABAP,2017,2,133,161.0,-0.17391304347826086
ABAP,2017,3,116,133.0,-0.1278195488721805
ABAP,2017,4,95,116.0,-0.18103448275862066
ABAP,2018,1,68,95.0,-0.28421052631578947
ABAP,2018,2,67,68.0,-0.014705882352941124
ABAP,2018,3,65,67.0,-0.02985074626865669
ABAP,2018,4,76,65.0,0.1692307692307693
ABAP,2019,1,63,76.0,-0.17105263157894735
ABAP,2019,2,58,63.0,-0.07936507936507942
ABAP,2019,3,50,58.0,-0.13793103448275867
ABAP,2019,4,55,50.0,0.10000000000000009
ABAP,2020,1,50,55.0,-0.09090909090909094
ABAP,2020,2,46,50.0,-0.07999999999999996
ABAP,2020,3,58,46.0,0.26086956521739135
ABAP,2020,4,46,58.0,-0.2068965517241379
ABAP,2021,1,44,46.0,-0.04347826086956519
ABAP,2021,2,39,44.0,-0.11363636363636365
ABAP,2021,3,37,39.0,-0.05128205128205132
ABAP,2021,4,27,37.0,-0.2702702702702703
AGS Script,2011,2,401,405.0,-0.00987654320987652
AGS Script,2011,3,421,401.0,0.04987531172069826
AGS Script,2011,4,440,421.0,0.0451306413301662
AGS Script,2012,1,480,440.0,0.09090909090909083
AGS Script,2012,2,501,480.0,0.043749999999999956
AGS Script,2012,3,512,501.0,0.02195608782435121
AGS Script,2012,4,534,512.0,0.04296875
AGS Script,2013,1,558,534.0,0.04494382022471921
AGS Script,2013,2,555,558.0,-0.005376344086021501
AGS Script,2013,3,549,555.0,-0.010810810810810811
AGS Script,2013,4,560,549.0,0.020036429872495543
AGS Script,2014,1,536,560.0,-0.042857142857142816
AGS Script,2014,2,599,536.0,0.11753731343283591
AGS Script,2014,3,619,599.0,0.03338898163606019
AGS Script,2014,4,631,619.0,0.01938610662358653
AGS Script,2015,1,457,631.0,-0.27575277337559434
AGS Script,2015,2,421,457.0,-0.07877461706783373
AGS Script,2015,3,381,421.0,-0.09501187648456055
AGS Script,2015,4,326,381.0,-0.14435695538057747
AGS Script,2016,1,298,326.0,-0.08588957055214719
AGS Script,2016,2,249,298.0,-0.16442953020134232
AGS Script,2016,3,241,249.0,-0.032128514056224855
