language_name,year,count,lag_count,yoy_change
1C Enterprise,2012,5767,2964.0,0.9456815114709851
1C Enterprise,2013,9150,5767.0,0.5866134905496792
1C Enterprise,2014,165519,9150.0,17.08950819672131
1C Enterprise,2015,1022049,165519.0,5.17481376760372
1C Enterprise,2016,1236174,1022049.0,0.2095056107877411
1C Enterprise,2017,847655,1236174.0,-0.3142915155957009
1C Enterprise,2018,417046,847655.0,-0.508000306728563
1C Enterprise,2019,314574,417046.0,-0.2457091064295066
1C Enterprise,2020,339367,314574.0,0.07881452376865217
1C Enterprise,2021,121741,339367.0,-0.6412703651209457
ABAP,2012,153663,174522.0,-0.11952074810052604
ABAP,2013,160472,153663.0,0.0443112525461562
ABAP,2014,146992,160472.0,-0.08400219352908922
ABAP,2015,92687,146992.0,-0.3694418743877218
ABAP,2016,29329,92687.0,-0.6835694326065144
ABAP,2017,28007,29329.0,-0.045074840601452504
ABAP,2018,10433,28007.0,-0.6274859856464455
ABAP,2019,8138,10433.0,-0.21997507907600877
ABAP,2020,7990,8138.0,-0.018186286556893583
ABAP,2021,4533,7990.0,-0.43266583229036293
AGS Script,2012,331098,145348.0,1.2779673610919997
AGS Script,2013,175110,331098.0,-0.4711233532066035
AGS Script,2014,146309,175110.0,-0.16447375935126496
AGS Script,2015,79122,146309.0,-0.4592130354250251
AGS Script,2016,46000,79122.0,-0.4186193473370239
AGS Script,2017,25996,46000.0,-0.4348695652173913
AGS Script,2018,19135,25996.0,-0.2639252192645022
AGS Script,2019,16192,19135.0,-0.1538019336294748
AGS Script,2020,11913,16192.0,-0.26426630434782605
AGS Script,2021,5506,11913.0,-0.5378158314446403
AIDL,2012,13574,9026.0,0.503877686682916
AIDL,2013,17417,13574.0,0.2831147782525416
AIDL,2014,30936,17417.0,0.7761956708962507
AIDL,2015,46277,30936.0,0.4958947504525473
AIDL,2016,47310,46277.0,0.0223221038528858
AIDL,2017,47358,47310.0,0.0010145846544071802
AIDL,2018,53097,47358.0,0.12118332699860646
AIDL,2019,56225,53097.0,0.05891104958848903
AIDL,2020,67148,56225.0,0.19427301022676735
AIDL,2021,63371,67148.0,-0.05624888306427589
AL,2012,126,139.0,-0.09352517985611508
AL,2013,3626,126.0,27.77777777777778
AL,2014,4145,3626.0,0.1431329288472145
AL,2015,5089,4145.0,0.22774427020506627
AL,2016,11660,5089.0,1.2912163489880135
AL,2017,12003,11660.0,0.02941680960548876
AL,2018,5274,12003.0,-0.5606098475381155
AL,2019,4097,5274.0,-0.22317026924535455
AL,2020,4248,4097.0,0.03685623627044188
AL,2021,1911,4248.0,-0.5501412429378532
AMPL,2012,1647330,1571890.0,0.04799318018436405
AMPL,2013,1659169,1647330.0,0.007186781033551304
AMPL,2014,1968661,1659169.0,0.18653434339720665
AMPL,2015,1553022,1968661.0,-0.21112776653776344
AMPL,2016,776985,1553022.0,-0.4996947886121381
AMPL,2017,468770,776985.0,-0.3966807596028238
AMPL,2018,169415,468770.0,-0.6385967532051966
AMPL,2019,126359,169415.0,-0.25414514653365994
AMPL,2020,140871,126359.0,0.11484737929233368
AMPL,2021,77940,140871.0,-0.4467278574014524
ANTLR,2012,1084479,695612.0,0.5590285964014421
ANTLR,2013,2058511,1084479.0,0.8981566263615985
ANTLR,2014,2546644,2058511.0,0.2371291676362186
ANTLR,2015,2891808,2546644.0,0.1355368084427977
ANTLR,2016,2044287,2891808.0,-0.293076511303655
ANTLR,2017,1130314,2044287.0,-0.44708644138518716
ANTLR,2018,729450,1130314.0,-0.35464835435109177
ANTLR,2019,559930,729450.0,-0.2323942696552197
ANTLR,2020,455441,559930.0,-0.18661082635329418
ANTLR,2021,304196,455441.0,-0.3320847266715118
API Blueprint,2012,15046,10194.0,0.47596625465960374
API Blueprint,2013,37519,15046.0,1.4936195666622356
API Blueprint,2014,75480,37519.0,1.0117806977797916
API Blueprint,2015,128467,75480.0,0.7020005299417065
API Blueprint,2016,109728,128467.0,-0.14586625359041616
API Blueprint,2017,56647,109728.0,-0.4837507290755322
API Blueprint,2018,27587,56647.0,-0.513001571133511
API Blueprint,2019,13816,27587.0,-0.49918439844854456
API Blueprint,2020,8261,13816.0,-0.40207006369426757
API Blueprint,2021,5177,8261.0,-0.37332042125650644
APL,2012,4763,2066.0,1.3054211035818004
APL,2013,11266,4763.0,1.3653159773252153
APL,2014,32515,11266.0,1.8861175217468489
APL,2015,21501,32515.0,-0.33873596801476247
APL,2016,10450,21501.0,-0.5139760941351565
APL,2017,6323,10450.0,-0.3949282296650718
APL,2018,5207,6323.0,-0.176498497548632
APL,2019,1166,5207.0,-0.7760706740925677
APL,2020,966,1166.0,-0.17152658662092624
APL,2021,1142,966.0,0.18219461697722572
ASL,2012,6639,5550.0,0.1962162162162162
ASL,2013,8929,6639.0,0.34493146558216603
ASL,2014,9896,8929.0,0.10829880165752037
ASL,2015,17679,9896.0,0.7864793856103476
ASL,2016,23787,17679.0,0.34549465467503815
ASL,2017,20956,23787.0,-0.1190145878000588
ASL,2018,26161,20956.0,0.24837755296812358
ASL,2019,27981,26161.0,0.0695692060701043
ASL,2020,33516,27981.0,0.19781280154390468
ASL,2021,37341,33516.0,0.11412459720730395
ASP,2012,131648068,211525183.0,-0.37762461125018854
ASP,2013,71767728,131648068.0,-0.4548516427905346
ASP,2014,19623145,71767728.0,-0.7265742479683905
ASP,2015,5927040,19623145.0,-0.6979566731020945
ASP,2016,2128971,5927040.0,-0.6408036726595401
ASP,2017,1065860,2128971.0,-0.49935438293898793
ASP,2018,348300,1065860.0,-0.6732216238530389
ASP,2019,225497,348300.0,-0.3525782371518805
ASP,2020,112318,225497.0,-0.501909116307534
ASP,2021,28688,112318.0,-0.7445823465517548
ASP.NET,2012,33918,31363.0,0.0814654210375283
ASP.NET,2013,48596,33918.0,0.43274957249837853
ASP.NET,2014,46618,48596.0,-0.040702938513457854
ASP.NET,2015,60138,46618.0,0.29001673173452325
ASP.NET,2016,85259,60138.0,0.41772257141906954
ASP.NET,2017,91520,85259.0,0.0734350625740392
ASP.NET,2018,81404,91520.0,-0.11053321678321681
ASP.NET,2019,78096,81404.0,-0.04063682374330502
ASP.NET,2020,69380,78096.0,-0.11160622823191968
ASP.NET,2021,58047,69380.0,-0.16334678581723838
ATS,2012,66070,56257.0,0.17443162628650666
ATS,2013,73181,66070.0,0.10762827304374145
ATS,2014,83584,73181.0,0.1421543843347317
ATS,2015,32346,83584.0,-0.6130120597243491
ATS,2016,2535,32346.0,-0.9216286403264701
ATS,2017,1096,2535.0,-0.5676528599605523
ATS,2018,872,1096.0,-0.2043795620437956
ATS,2019,378,872.0,-0.5665137614678899
ATS,2020,392,378.0,0.03703703703703698
ATS,2021,446,392.0,0.1377551020408163
ActionScript,2012,4741266,2250487.0,1.106773333949496
ActionScript,2013,5653775,4741266.0,0.1924610431053646
ActionScript,2014,4491418,5653775.0,-0.20558953973230276
ActionScript,2015,3117206,4491418.0,-0.30596395169632395
ActionScript,2016,845000,3117206.0,-0.7289239145568178
ActionScript,2017,401396,845000.0,-0.5249751479289941
ActionScript,2018,220053,401396.0,-0.4517807850601401
ActionScript,2019,151931,220053.0,-0.30957087610711964
ActionScript,2020,97198,151931.0,-0.36024906042874727
ActionScript,2021,50952,97198.0,-0.4757916829564395
Ada,2012,2473106,2507152.0,-0.013579551618729147
Ada,2013,2131521,2473106.0,-0.13811983796893457
Ada,2014,1916774,2131521.0,-0.10074824503253776
Ada,2015,1254974,1916774.0,-0.3452676215349332
Ada,2016,508896,1254974.0,-0.5944967784193138
Ada,2017,308904,508896.0,-0.39299188832295795
Ada,2018,167090,308904.0,-0.4590876129800844
Ada,2019,144007,167090.0,-0.13814710634987137
Ada,2020,132638,144007.0,-0.07894755116070751
Ada,2021,81795,132638.0,-0.38332152173585243
Agda,2012,5986,3332.0,0.7965186074429771
Agda,2013,5301,5986.0,-0.11443367858336118
Agda,2014,13108,5301.0,1.47274099226561
Agda,2015,9245,13108.0,-0.2947055233445224
Agda,2016,5833,9245.0,-0.36906435911303404
Agda,2017,12144,5833.0,1.0819475398594207
Agda,2018,6297,12144.0,-0.4814723320158103
Agda,2019,3381,6297.0,-0.4630776560266794
Agda,2020,1416,3381.0,-0.5811889973380657
Agda,2021,1086,1416.0,-0.23305084745762716
Alloy,2012,3687,2335.0,0.5790149892933618
Alloy,2013,3560,3687.0,-0.03444534852183345
Alloy,2014,5475,3560.0,0.5379213483146068
Alloy,2015,6146,5475.0,0.12255707762557089
Alloy,2016,6271,6146.0,0.02033843150016268
Alloy,2017,2655,6271.0,-0.5766225482379206
Alloy,2018,752,2655.0,-0.7167608286252354
Alloy,2019,748,752.0,-0.005319148936170248
Alloy,2020,569,748.0,-0.23930481283422456
Alloy,2021,605,569.0,0.06326889279437609
AngelScript,2012,138779,89612.0,0.5486653573182163
AngelScript,2013,189790,138779.0,0.3675700214009323
AngelScript,2014,229706,189790.0,0.21031666578850317
AngelScript,2015,243566,229706.0,0.060337997266070476
AngelScript,2016,188470,243566.0,-0.226205628043323
AngelScript,2017,129926,188470.0,-0.31062768610388924
AngelScript,2018,65804,129926.0,-0.4935270846481844
AngelScript,2019,38559,65804.0,-0.41403258160598144
AngelScript,2020,18258,38559.0,-0.5264918696024274
AngelScript,2021,11623,18258.0,-0.36340234417789463
ApacheConf,2012,11820424,13416607.0,-0.11897069057772958
ApacheConf,2013,11652174,11820424.0,-0.014233837974001573
