language_name,year,count,lag_count,yoy_change
1C Enterprise,2012,127,65.0,0.9538461538461538
1C Enterprise,2013,223,127.0,0.7559055118110236
1C Enterprise,2014,1177,223.0,4.278026905829597
1C Enterprise,2015,1855,1177.0,0.5760407816482582
1C Enterprise,2016,2041,1855.0,0.10026954177897585
1C Enterprise,2017,1620,2041.0,-0.20627143557079863
1C Enterprise,2018,939,1620.0,-0.4203703703703704
1C Enterprise,2019,675,939.0,-0.28115015974440893
1C Enterprise,2020,474,675.0,-0.2977777777777778
1C Enterprise,2021,269,474.0,-0.4324894514767933
ABAP,2012,1535,1250.0,0.22799999999999998
ABAP,2013,1583,1535.0,0.03127035830618885
ABAP,2014,1741,1583.0,0.09981048641819323
ABAP,2015,1416,1741.0,-0.18667432510051696
ABAP,2016,697,1416.0,-0.5077683615819208
ABAP,2017,505,697.0,-0.2754662840746055
ABAP,2018,276,505.0,-0.4534653465346534
ABAP,2019,226,276.0,-0.1811594202898551
ABAP,2020,200,226.0,-0.11504424778761058
ABAP,2021,147,200.0,-0.265
AGS Script,2012,2027,1667.0,0.21595680863827238
AGS Script,2013,2222,2027.0,0.09620128268376904
AGS Script,2014,2385,2222.0,0.07335733573357328
AGS Script,2015,1585,2385.0,-0.3354297693920335
AGS Script,2016,1034,1585.0,-0.3476340694006309
AGS Script,2017,884,1034.0,-0.14506769825918764
AGS Script,2018,567,884.0,-0.35859728506787325
AGS Script,2019,477,567.0,-0.15873015873015872
AGS Script,2020,391,477.0,-0.18029350104821806
AGS Script,2021,277,391.0,-0.2915601023017903
AIDL,2012,194,134.0,0.4477611940298507
AIDL,2013,225,194.0,0.1597938144329898
AIDL,2014,255,225.0,0.1333333333333333
AIDL,2015,351,255.0,0.3764705882352941
AIDL,2016,399,351.0,0.1367521367521367
AIDL,2017,469,399.0,0.17543859649122817
AIDL,2018,506,469.0,0.07889125799573571
AIDL,2019,534,506.0,0.05533596837944654
AIDL,2020,502,534.0,-0.05992509363295884
AIDL,2021,488,502.0,-0.027888446215139417
AL,2012,16,9.0,0.7777777777777777
AL,2013,86,16.0,4.375
AL,2014,90,86.0,0.04651162790697683
AL,2015,97,90.0,0.07777777777777772
AL,2016,117,97.0,0.2061855670103092
AL,2017,125,117.0,0.06837606837606836
AL,2018,135,125.0,0.08000000000000007
AL,2019,110,135.0,-0.18518518518518523
AL,2020,115,110.0,0.045454545454545414
AL,2021,91,115.0,-0.20869565217391306
AMPL,2012,3712,3194.0,0.1621790857858485
AMPL,2013,4275,3712.0,0.15167025862068972
AMPL,2014,4828,4275.0,0.1293567251461989
AMPL,2015,4881,4828.0,0.010977630488815171
AMPL,2016,3862,4881.0,-0.20876869493956152
AMPL,2017,3214,3862.0,-0.16778871051268773
AMPL,2018,2305,3214.0,-0.2828251400124455
AMPL,2019,1746,2305.0,-0.24251626898047718
AMPL,2020,1392,1746.0,-0.20274914089347074
AMPL,2021,994,1392.0,-0.2859195402298851
ANTLR,2012,8322,6317.0,0.3173974988127275
ANTLR,2013,10665,8322.0,0.28154289834174473
ANTLR,2014,12827,10665.0,0.20271917487107372
